sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,mean_BYfm,sd_BYfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm
kaliptis,8.7,,0.0059446786987552855,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
mango,24.3,,0.04637697615045592,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
mango,11.6,,0.010568317686676062,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
kaliptis,8.5,,0.005674501730546564,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
mango,15.3,6.6,0.01838538560697087,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
mango,16.5,6.6,0.02138246499849553,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
mango,24.6,,0.047529155256159986,34,Sapate.shp,0.569562,0.515,,0.515,,0.4225,0.13081475451951127,0.5525,0.0708232617216773,0.500529411764706,0.0941339098036177,0.500529411764706,0.0941339098036177,0.5525,0.0708232617216773
kaliptis,24.8,10.0,0.048305128641596654,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
kaliptis,7.0,,0.003848451000647497,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
kaliptis,9.3,,0.006792908715224532,34,Sapate.shp,0.569562,0.7350000000000001,,0.7350000000000001,,0.7675000000000001,0.04596194077712555,0.7750089407861558,0.0766509237421624,0.8300925813264409,0.0941339098036177,0.8300925813264409,0.0941339098036177,0.7750089407861558,0.0766509237421624
