all_names,sd_sp,med_sp,mean_sp,sd_gn,med_gn,mean_gn,sd_fm,med_fm,mean_fm
canille,,0.95,0.95,,0.95,0.95,,0.8193999999999999,0.8431333333333333
canique,,0.7548,0.7561500000000001,,1.0194999999999999,1.0222122727272729,0.4097523466825996,0.6875,0.6980207277713621
canne de tobago,,0.54,0.5567344712,,0.54,0.5567344712,,0.54,0.5567344712
cannelier a triple nervure,,0.4845256665,0.4827179655952381,,0.4845256665,0.4827179655952381,,0.53125,0.5495792673435416
cannelier de montagne,,0.4845256665,0.4827179655952381,,0.4845256665,0.4827179655952381,,0.53125,0.5495792673435416
cannelle,,0.723829,0.723829,,0.4845256665,0.5029717350792882,,0.53125,0.5495792673435416
cannelle abeille,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805
cannelle douce,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805
cannelle marron,,0.4733985,0.5029717350792882,,0.4733985,0.5029717350792882,,0.53125,0.5495792673435416
cannelle miel,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805,,0.6000000000000001,0.5829805
cannelle poivree,,0.95,0.95,,0.95,0.95,,0.8193999999999999,0.8431333333333333
cannellier,,0.497658,0.497658,,0.4845256665,0.4827179655952381,,0.53125,0.5495792673435416
caoutchouc,,0.5375,0.54070225,,0.45009125,0.456420480205214,,0.47416499999999995,0.5130855805986358
capable,,0.6925,0.6925,,0.7425052495,0.7439239793076924,,0.733125,0.725393653775901
capable marguerite,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668,,0.70375,0.6829172864166668
capitaine,,0.63125,0.643271923076923,,0.63125,0.643271923076923,,0.63125,0.643271923076923
caprice,,0.75,0.75,,0.523102673,0.5247747164000001,,0.571215,0.5834368875889329
caprier ,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
caprier rampant,,0.825,0.825,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
caprier souple,,0.825,0.825,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
caracolet,,0.6692499999999999,0.6571703642638889,,0.6692499999999999,0.6571703642638889,,0.7689999999999999,0.7471137938687258
caractere des hommes,,0.6943999999999999,0.8084724999999998,,0.6943999999999999,0.8084724999999998,0.4097523466825996,0.6875,0.6980207277713621
carambolier,,0.572565,0.5767209999999999,,0.565,0.5479506249999999,,0.5712824999999999,0.5603605
carambouba,,0.8325,0.8325,,0.7851487500000001,0.767323963,0.4097523466825996,0.6875,0.6980207277713621
carassol,,0.36,0.36,,0.5,0.4805487873846154,,0.595,0.5772333305037176
carnpeche,,0.8574999999999999,0.8394999999999999,,0.8624999999999999,0.8517857142857143,0.4097523466825996,0.6875,0.6980207277713621
carosse,,0.325650588,0.325650588,,0.325650588,0.325650588,,0.54,0.5567344712
carossier,,0.325650588,0.325650588,,0.325650588,0.325650588,,0.54,0.5567344712
cascarille,,0.523102673,0.5149155396734696,,0.523102673,0.5149155396734696,,0.48107999999999995,0.5455080724271253
casearia cafe-marron,,0.735,0.735,,0.65996,0.6636216683369565,,0.75,0.7399999999999999
casearia papelite,,0.73,0.705,,0.65996,0.6636216683369565,,0.75,0.7399999999999999
casearia piquant-vada,,0.67,0.67,,0.65996,0.6636216683369565,,0.75,0.7399999999999999
casse,,0.8049999999999999,0.8049999999999999,,0.8049999999999999,0.8194038448275862,0.4097523466825996,0.6875,0.6980207277713621
casse a baton,,0.755,0.755,,0.649545,0.6607672727272726,0.4097523466825996,0.6875,0.6980207277713621
casse abilton,,0.755,0.755,,0.649545,0.6607672727272726,0.4097523466825996,0.6875,0.6980207277713621
casse de siam,,0.6825,0.67995125,,0.649545,0.6607672727272726,0.4097523466825996,0.6875,0.6980207277713621
