all_names,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,med_BYgn,mean_BYfm,sd_BYfm,mean_BYgnfm,sd_BYgnfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm,mean_GWDgnfm,sd_GWDgnfm,mean_GWDBYgnfm_CAT,sd_GWDBYgnfm_CAT
delen etranje,0.645,0.0,0.6884210526315787,0.023036964956043172,0.7,0.7498630136986298,0.15103915116740885,0.6884210526315787,0.023036964956043172,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.678666666666667,0.0941339098036177,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.76,0.0941339098036177
delen peyi,0.6999999999999998,0.0,0.6884210526315787,0.023036964956043172,0.7,0.7498630136986298,0.15103915116740885,0.6884210526315787,0.023036964956043172,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.678666666666667,0.0941339098036177,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.76,0.0941339098036177
delin etranger,0.645,0.0,0.6884210526315787,0.023036964956043172,0.7,0.7498630136986298,0.15103915116740885,0.6884210526315787,0.023036964956043172,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.678666666666667,0.0941339098036177,0.683333333333333,0.0708232617216773,0.678666666666667,0.0941339098036177,0.76,0.0941339098036177
dent de chien blanc,,,0.5905128205128206,0.10049741337202135,0.6,0.5905128205128206,0.10049741337202135,0.5905128205128206,0.10049741337202135,0.544971109123435,0.0941339098036177,0.544971109123435,0.0941339098036177,0.544971109123435,0.0941339098036177,0.542470421245421,0.0941339098036177,0.542470421245421,0.0941339098036177,0.5243333333333329,0.0941339098036177
desaison,,,,,,0.4692857142857139,0.18047268383439533,0.4692857142857139,0.18047268383439533,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.457,0.0941339098036177,0.5315763888888889,0.12340172424716199
deux jumelles,,,,,,0.7498630136986298,0.15103915116740885,0.7498630136986298,0.15103915116740885,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.755333333333333,0.0941339098036177,0.662793604651163,0.12340172424716199
dibit-kra,0.33,0.0,0.33,0.0,0.33,0.34875,0.08385254915624213,0.33,0.0,0.305,0.0708232617216773,0.310833333333333,0.0941339098036177,0.310833333333333,0.0941339098036177,0.305,0.0708232617216773,0.310833333333333,0.0941339098036177,0.335,0.0941339098036177
diversifolia,,,0.6884210526315787,0.023036964956043172,0.7,0.7498630136986298,0.15103915116740885,0.6884210526315787,0.023036964956043172,0.6,0.0708232617216773,0.678666666666667,0.0941339098036177,0.678666666666667,0.0941339098036177,0.6,0.0708232617216773,0.678666666666667,0.0941339098036177,0.76,0.0941339098036177
divi divi,1.05,0.0,1.05,0.0,1.05,0.7498630136986298,0.15103915116740885,1.05,0.0,1.1375,0.0708232617216773,0.993190476190476,0.0941339098036177,0.993190476190476,0.0941339098036177,1.1375,0.0708232617216773,0.993190476190476,0.0941339098036177,0.96,0.0941339098036177
dividivi,1.05,0.0,1.05,0.0,1.05,0.7498630136986298,0.15103915116740885,1.05,0.0,1.1375,0.0708232617216773,0.993190476190476,0.0941339098036177,0.993190476190476,0.0941339098036177,1.1375,0.0708232617216773,0.993190476190476,0.0941339098036177,0.96,0.0941339098036177
do jilet,,,,,,0.39529411764705885,0.09112955386829945,0.39529411764705885,0.09112955386829945,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.5074375,0.12340172424716199
doliv,0.4500000000000001,0.0,0.41776315789473695,0.015765088382115298,0.4125,0.49670833333333314,0.03631825041752857,0.47850877192982466,0.010510058921410199,0.4889083333333332,0.0824785857626475,0.5078584016393441,0.0941339098036177,0.5078584016393441,0.0941339098036177,0.5002944444444445,0.0824785857626475,0.5195648540489642,0.0941339098036177,0.5615920684903143,0.1253431310281391
doliv bata,,,,,,,,,,0.637216177185931,0.178843768569196,0.636404276639625,0.16906272333754402,,,0.635224297914467,0.17553215700209804,0.635205785876634,0.16795124075755202,0.64900160729459,0.18970298025815902
dombou,,,0.5,0.0,0.5,0.5168181818181817,0.05909317529971943,0.5,0.0,0.7,0.0708232617216773,0.644092948717949,0.0941339098036177,0.644092948717949,0.0941339098036177,0.7,0.0708232617216773,0.644092948717949,0.0941339098036177,0.565833333333333,0.0941339098036177
doritska,0.33,0.0,0.33,0.0,0.33,0.34875,0.08385254915624213,0.33,0.0,0.305,0.0708232617216773,0.310833333333333,0.0941339098036177,0.310833333333333,0.0941339098036177,0.305,0.0708232617216773,0.310833333333333,0.0941339098036177,0.335,0.0941339098036177
dos gillette,,,,,,0.39529411764705885,0.09112955386829945,0.39529411764705885,0.09112955386829945,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.79,0.0941339098036177,0.5074375,0.12340172424716199
doti blanch,,,,,,0.5405999999999999,0.07859866411078499,0.5405999999999999,0.07859866411078499,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.36755882352941205,0.12340172424716199
doti bwa blan,,,,,,0.5405999999999999,0.07859866411078499,0.5405999999999999,0.07859866411078499,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.88,0.0941339098036177,0.36755882352941205,0.12340172424716199
