"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Bombacaceae","Pseudobombax",NA,0.63428403575867,0.156504650873455,"dataset",920
"Arecaceae","Pseudophoenix","lediniana",0.551760416666667,0.123401724247162,"family",16
"Arecaceae","Pseudophoenix","sargentii",0.551760416666667,0.123401724247162,"family",16
"Arecaceae","Pseudophoenix","vinifera",0.551760416666667,0.123401724247162,"family",16
"Myrtaceae","Psidium","dictyophyllum",0.855277777777778,0.0941339098036177,"genus",6
"Rubiaceae","Psychotria","berteriana",0.5636,0.0941339098036177,"genus",5
"Rubiaceae","Psychotria","grandis",0.5636,0.0941339098036177,"genus",5
"Rubiaceae","Psychotria","nutans",0.5636,0.0941339098036177,"genus",5
"Rubiaceae","Psychotria","spp.",0.5636,0.0941339098036177,"genus",5
"Punicaceae","Punica","granatum",0.63428403575867,0.156504650873455,"dataset",920
"Rosaceae","Pyrus","communis",0.632,0.0708232617216773,"species",2
"Bombacaceae","Quararibea","turbinata",0.63428403575867,0.156504650873455,"dataset",920
"Simaroubaceae","Quassia","amara",0.47,0.0708232617216773,"species",1
"Rubiaceae","Randia","erythrocarpa",0.671,0.0941339098036177,"genus",9
"Apocynaceae","Rauvolfia","biauriculata",0.486345238095238,0.0941339098036177,"genus",7
"Apocynaceae","Rauvolfia","viridis",0.486345238095238,0.0941339098036177,"genus",7
"Musaceae","Ravenala","madagascariensis",0.63428403575867,0.156504650873455,"dataset",920
"Rhamnaceae","Reynosia","uncinata",0.742069687257187,0.123401724247162,"family",13
"Rhamnaceae","Rhamnus",NA,0.565722222222222,0.0941339098036177,"genus",9
"Clusiaceae","Rheedia","laterifolia",0.66921165577342,0.123401724247162,"family",9
"Clusiaceae","Rheedia","verticillata",0.66921165577342,0.123401724247162,"family",9
"Annonaceae","Rollinia","mucosa",0.32,0.0708232617216773,"species",1
"Rubiaceae","Rondeletia","spp.",0.5,0.0941339098036177,"genus",1
"Adoxaceae","Samubucus","candensis",0.538666666666667,0.123401724247162,"family",2
"Flacourtiaceae","Samyda","dodecandra",0.63428403575867,0.156504650873455,"dataset",920
"Euphorbiaceae","Sapium","buchii",0.419269607843137,0.0941339098036177,"genus",17
"Euphorbiaceae","Sapium","jamaicense",0.419269607843137,0.0941339098036177,"genus",17
"Euphorbiaceae","Savia","sessiliflora",0.543103218248876,0.123401724247162,"family",72
"Araliaceae","Schefflera","tremula",0.394552976190476,0.0941339098036177,"genus",7
"Anacardiaceae","Schinus","molle",0.525,0.0708232617216773,"species",1
"Anacardiaceae","Schinus","terbinthifolius",0.586666666666667,0.0941339098036177,"genus",3
"Olacaceae","Schoepfia","obovata",0.742428289473684,0.123401724247162,"family",19
"Anacardiaceae","Sciadodendrum","excelsum",0.566231537002913,0.123401724247162,"family",42
"Euphorbiaceae","Securinega","acidoton",0.543103218248876,0.123401724247162,"family",72
"Fabaceae","Senna","angustiliqua",0.602857142857143,0.0941339098036177,"genus",7
"Fabaceae","Senna","domingensis",0.602857142857143,0.0941339098036177,"genus",7
"Fabaceae","Senna","pendula var. advena",0.602857142857143,0.0941339098036177,"genus",7
"Fabaceae","Senna","polyphylla var. polyphylla",0.602857142857143,0.0941339098036177,"genus",7
"Fabaceae","Senna","septemtrionalisis",0.602857142857143,0.0941339098036177,"genus",7
